記録,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
大入り,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
続く,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
前年,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
日中戦争,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
起き,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
迎え,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
盛り場,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
繁盛,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
作家,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
永井荷風,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ながい,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ふう,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
群集,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
織る,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ごとし,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
特筆,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
当時,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
近衛文麿,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
このえ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ふみ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
まろ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
首相,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
日中,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
和平,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
交渉,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
打ち切り,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
国民政府,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
対,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
あいて,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
せ,"[10, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
声明,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
５,"[21, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
日,"[152, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
後,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
あっ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
軍部,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
内,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
論,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
退け,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
泥沼化,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
招き,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
米,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
英,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
激突,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
へ,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
道,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
開い,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
運命,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
荷風,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
関心,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
外,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
らしく,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
何,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
言及,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
戦後,"[9, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
７,"[42, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
０,"[94, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
なる,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
歳月,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
考える,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
明治元年,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
あたる,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
重ね合わ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
みる,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
時,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
先人,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
世紀,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
必死,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
